LGA_CODE20,LGA_NAME20,STE_CODE16,STE_NAME16,AREASQKM20
20110,Alpine (S),2,Victoria,4788.1568
20260,Ararat (RC),2,Victoria,4211.1171
20570,Ballarat (C),2,Victoria,739.0321
20660,Banyule (C),2,Victoria,62.5402
20740,Bass Coast (S),2,Victoria,865.8095
20830,Baw Baw (S),2,Victoria,4027.6287
20910,Bayside (C),2,Victoria,37.2111
21010,Benalla (RC),2,Victoria,2352.6397
21110,Boroondara (C),2,Victoria,60.1774
21180,Brimbank (C),2,Victoria,123.3991
21270,Buloke (S),2,Victoria,8000.4027
21370,Campaspe (S),2,Victoria,4518.8582
21450,Cardinia (S),2,Victoria,1282.5678
21610,Casey (C),2,Victoria,409.4289
21670,Central Goldfields (S),2,Victoria,1532.7843
21750,Colac-Otway (S),2,Victoria,3437.4701
21830,Corangamite (S),2,Victoria,4407.4921
21890,Darebin (C),2,Victoria,53.4711
22110,East Gippsland (S),2,Victoria,20940.2326
22170,Frankston (C),2,Victoria,129.598
22250,Gannawarra (S),2,Victoria,3735.3353
22310,Glen Eira (C),2,Victoria,38.6906
22410,Glenelg (S),2,Victoria,6218.5734
22490,Golden Plains (S),2,Victoria,2703.3898
22620,Greater Bendigo (C),2,Victoria,2999.9721
22670,Greater Dandenong (C),2,Victoria,129.5469
22750,Greater Geelong (C),2,Victoria,1247.9876
22830,Greater Shepparton (C),2,Victoria,2421.9093
22910,Hepburn (S),2,Victoria,1472.9844
22980,Hindmarsh (S),2,Victoria,7524.1824
23110,Hobsons Bay (C),2,Victoria,64.2404
23190,Horsham (RC),2,Victoria,4266.769
23270,Hume (C),2,Victoria,503.8505
23350,Indigo (S),2,Victoria,2040.069
23430,Kingston (C) (Vic.),2,Victoria,91.3677
23670,Knox (C),2,Victoria,113.9115
23810,Latrobe (C) (Vic.),2,Victoria,1425.6128
23940,Loddon (S),2,Victoria,6696.4447
24130,Macedon Ranges (S),2,Victoria,1748.2837
24210,Manningham (C),2,Victoria,113.3478
24250,Mansfield (S),2,Victoria,3843.8535
24330,Maribyrnong (C),2,Victoria,31.2254
24410,Maroondah (C),2,Victoria,61.4097
24600,Melbourne (C),2,Victoria,37.3513
24650,Melton (C),2,Victoria,527.5374
24780,Mildura (RC),2,Victoria,22082.4836
24850,Mitchell (S),2,Victoria,2862.0833
24900,Moira (S),2,Victoria,4046.3738
24970,Monash (C),2,Victoria,81.4829
25060,Moonee Valley (C),2,Victoria,43.1386
25150,Moorabool (S),2,Victoria,2110.5504
25250,Moreland (C),2,Victoria,50.9519
25340,Mornington Peninsula (S),2,Victoria,724.1679
25430,Mount Alexander (S),2,Victoria,1529.6184
25490,Moyne (S),2,Victoria,5481.6861
25620,Murrindindi (S),2,Victoria,3879.7505
25710,Nillumbik (S),2,Victoria,432.3373
25810,Northern Grampians (S),2,Victoria,5729.8764
25900,Port Phillip (C),2,Victoria,20.7092
25990,Pyrenees (S),2,Victoria,3434.5689
26080,Queenscliffe (B),2,Victoria,8.6166
26170,South Gippsland (S),2,Victoria,3296.3307
26260,Southern Grampians (S),2,Victoria,6654.0186
26350,Stonnington (C),2,Victoria,25.6514
26430,Strathbogie (S),2,Victoria,3303.2568
26490,Surf Coast (S),2,Victoria,1552.944
26610,Swan Hill (RC),2,Victoria,6115.3087
26670,Towong (S),2,Victoria,6674.9467
26700,Wangaratta (RC),2,Victoria,3645.1095
26730,Warrnambool (C),2,Victoria,120.9488
26810,Wellington (S),2,Victoria,10817.3346
26890,West Wimmera (S),2,Victoria,9108.2042
26980,Whitehorse (C),2,Victoria,64.28
27070,Whittlesea (C),2,Victoria,489.6939
27170,Wodonga (C),2,Victoria,432.6894
27260,Wyndham (C),2,Victoria,542.0949
27350,Yarra (C),2,Victoria,19.5425
27450,Yarra Ranges (S),2,Victoria,2468.205
27630,Yarriambiack (S),2,Victoria,7325.797
29399,Unincorporated Vic,2,Victoria,283.0142
